Ontology Source AlignmentProperty Target
ArCo https://w3id.org/ocm/ontology/PhysicalInstrument equivalentClass https://w3id.org/arco/ontology/arco/MusicHeritage
ArCo https://w3id.org/ocm/ontology/MusicalComposition subClassOf https://w3id.org/arco/ontology/arco/IntangibleCulturalProperty
ArCo https://w3id.org/ocm/ontology/MusicalPerformance subClassOf https://w3id.org/arco/ontology/arco/IntangibleCulturalProperty
ArCo https://w3id.org/ocm/ontology/Lyrics subClassOf https://w3id.org/arco/ontology/arco/IntangibleCulturalProperty
MuziekSchatten https://w3id.org/ocm/ontology/Author subClassOf https://data.muziekschatten.nl/som/bewerker
MuziekSchatten https://w3id.org/ocm/ontology/MusicalScore equivalentClass https://data.muziekschatten.nl/som/Partij
MuziekSchatten https://w3id.org/ocm/ontology/Conductor subClassOf https://data.muziekschatten.nl/som/Directie
MuziekSchatten https://w3id.org/ocm/ontology/Album equivalentClass https://data.muziekschatten.nl/som/Album
MuziekSchatten https://w3id.org/ocm/ontology/Lyrics subClassOf https://data.muziekschatten.nl/som/Handgeschreven
MuziekSchatten https://w3id.org/ocm/ontology/VocalScore equivalentClass https://data.muziekschatten.nl/som/Zangpartij
MuziekSchatten https://w3id.org/ocm/ontology/Composer equivalentClass https://data.muziekschatten.nl/som/samensteller
MuziekSchatten https://w3id.org/ocm/ontology/Writer equivalentClass https://data.muziekschatten.nl/som/tekstdichter
MuziekSchatten https://w3id.org/ocm/ontology/Performer equivalentClass https://data.muziekschatten.nl/som/uitvoerende
Corago https://w3id.org/ocm/ontology/MusicalPerformance subClassOf http://erlangen-crm.org/efrbroo/F8_Event
Corago https://w3id.org/ocm/ontology/PhysicalInstrument subClassOf http://erlangen-crm.org/current/E19_Physical_object
Corago https://w3id.org/ocm/ontology/Character equivalentClass http://erlangen-crm.org/efrbroo/F38_Character
Corago https://w3id.org/ocm/ontology/MusicalCreation subClassOf http://erlangen-crm.org/efrbroo/F28_Expression_Creation
